continent,location,date,population,Sum_vaccination,Percent_vaccination_population
Asia,China,4/30/2021,"1,439,323,774","265,064,000",18.41587034
Asia,China,4/29/2021,"1,439,323,774","253,463,000",17.60986684
Asia,China,4/28/2021,"1,439,323,774","243,905,000",16.945805
North America,United States,4/30/2021,"331,002,647","240,159,677",72.55521343
North America,United States,4/29/2021,"331,002,647","237,360,493",71.70954527
Asia,China,4/27/2021,"1,439,323,774","235,976,000",16.3949213
North America,United States,4/28/2021,"331,002,647","234,639,414",70.8874736
North America,United States,4/27/2021,"331,002,647","232,407,669",70.21323579
North America,United States,4/26/2021,"331,002,647","230,768,454",69.71800863
Asia,China,4/26/2021,"1,439,323,774","229,489,000",15.94422354
North America,United States,4/25/2021,"331,002,647","228,661,408",69.08144393
North America,United States,4/24/2021,"331,002,647","225,640,460",68.16877812
Asia,China,4/25/2021,"1,439,323,774","224,901,000",15.62546274
North America,United States,4/23/2021,"331,002,647","222,322,230",67.16629973
Asia,China,4/24/2021,"1,439,323,774","220,309,000",15.30642403
North America,United States,4/22/2021,"331,002,647","218,947,643",66.14679519
Asia,China,4/23/2021,"1,439,323,774","216,084,000",15.0128834
North America,United States,4/21/2021,"331,002,647","215,951,909",65.24174684
North America,United States,4/20/2021,"331,002,647","213,388,238",64.46723008
North America,United States,4/19/2021,"331,002,647","211,581,309",63.92133444
Asia,China,4/22/2021,"1,439,323,774","211,223,000",14.67515536
North America,United States,4/18/2021,"331,002,647","209,406,814",63.26439257
North America,United States,4/17/2021,"331,002,647","205,871,913",62.19645518
Asia,China,4/21/2021,"1,439,323,774","204,191,000",14.1865926
North America,United States,4/16/2021,"331,002,647","202,282,923",61.11217685
Asia,China,4/20/2021,"1,439,323,774","198,950,000",13.82246327
North America,United States,4/15/2021,"331,002,647","198,317,040",59.91403446
Asia,China,4/19/2021,"1,439,323,774","195,022,000",13.54955734
North America,United States,4/14/2021,"331,002,647","194,791,836",58.84902667
North America,United States,4/13/2021,"331,002,647","192,282,781",58.09101007
Asia,China,4/18/2021,"1,439,323,774","192,127,000",13.34842121
Asia,China,4/17/2021,"1,439,323,774","189,809,000",13.18737336
North America,United States,4/12/2021,"331,002,647","189,692,045",57.30831663
Asia,China,4/16/2021,"1,439,323,774","187,360,000",13.01722402
North America,United States,4/11/2021,"331,002,647","187,047,131",56.50925535
Asia,China,4/15/2021,"1,439,323,774","183,536,000",12.7515437
North America,United States,4/10/2021,"331,002,647","183,467,709",55.42786762
Asia,China,4/14/2021,"1,439,323,774","179,216,000",12.45140275
North America,United States,4/9/2021,"331,002,647","178,837,781",54.02910902
Asia,China,4/13/2021,"1,439,323,774","175,623,000",12.20177164
North America,United States,4/8/2021,"331,002,647","174,879,716",52.83332855
Asia,China,4/12/2021,"1,439,323,774","171,928,000",11.94505386
North America,United States,4/7/2021,"331,002,647","171,476,655",51.80522167
North America,United States,4/6/2021,"331,002,647","168,592,075",50.93375432
